ID,Age,AgeCategory,Education,MaritalStatus,Income,IncomeCategory,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,TotalSpending,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp6,AcceptedCampaign,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,TotalTransactions
5524,68,Elderly/Lansia (60+),Bachelor/Diploma,Single,58138.0,50K-70K,0,0,58,635,88,546,172,88,88,1617,0,0,0,0,0,1,Yes,3,8,10,4,25
2174,71,Elderly/Lansia (60+),Bachelor/Diploma,Single with Child,46344.0,<50K,1,1,38,11,1,6,2,1,6,27,0,0,0,0,0,0,No,2,1,1,2,6
4141,60,Elderly/Lansia (60+),Bachelor/Diploma,Together,71613.0,>70K,0,0,26,426,49,127,111,21,42,776,0,0,0,0,0,0,No,1,8,2,10,21
6182,41,Adult/Dewasa (29-44),Bachelor/Diploma,Together,26646.0,<50K,1,0,26,11,4,20,10,3,5,53,0,0,0,0,0,0,No,2,2,0,4,8
5324,44,Adult/Dewasa (29-44),PhD,Married,58293.0,50K-70K,1,0,94,173,43,118,46,27,15,422,0,0,0,0,0,0,No,5,5,3,6,19
7446,58,Middle-age/Paruh baya (45-59),Master,Together,62513.0,50K-70K,0,1,16,520,42,98,0,42,14,716,0,0,0,0,0,0,No,2,6,4,10,22
965,54,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Divorced,55635.0,50K-70K,0,1,34,235,65,164,50,49,27,590,0,0,0,0,0,0,No,4,7,3,7,21
6177,40,Adult/Dewasa (29-44),PhD,Married,33454.0,<50K,1,0,32,76,10,56,3,1,23,169,0,0,0,0,0,0,No,2,4,0,4,10
4855,51,Middle-age/Paruh baya (45-59),PhD,Together,30351.0,<50K,1,0,19,14,0,24,3,3,2,46,0,0,0,0,0,1,Yes,1,3,0,2,6
5899,75,Elderly/Lansia (60+),PhD,Together,5648.0,<50K,1,1,68,28,0,6,1,1,13,49,0,0,1,0,0,0,Yes,1,1,0,0,2
1994,42,Adult/Dewasa (29-44),Bachelor/Diploma,Married,51983.0,50K-70K,1,0,11,5,5,6,0,2,1,19,0,0,0,0,0,0,No,1,1,0,2,4
387,49,Middle-age/Paruh baya (45-59),HighSchool,Married,7500.0,<50K,0,0,59,6,16,11,11,1,16,61,0,0,0,0,0,0,No,1,2,0,3,6
2125,66,Elderly/Lansia (60+),Bachelor/Diploma,Divorced,63033.0,50K-70K,0,0,82,194,61,480,225,112,30,1102,0,0,0,0,0,0,No,1,3,4,8,16
8180,73,Elderly/Lansia (60+),Master,Divorced,59354.0,50K-70K,1,1,53,233,2,53,3,5,14,310,0,0,0,0,0,0,No,3,6,1,5,15
2569,38,Adult/Dewasa (29-44),Bachelor/Diploma,Married,17323.0,<50K,0,0,38,3,14,17,6,1,5,46,0,0,0,0,0,0,No,1,1,0,3,5
2114,79,Elderly/Lansia (60+),PhD,Single,82800.0,>70K,0,0,23,1006,22,115,59,68,45,1315,1,0,0,0,1,1,Yes,1,7,6,12,26
9736,45,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,41850.0,<50K,1,1,51,53,5,19,2,13,4,96,0,0,0,0,0,0,No,3,3,0,3,9
4939,79,Elderly/Lansia (60+),Bachelor/Diploma,Together,37760.0,<50K,0,0,20,84,5,38,150,12,28,317,0,0,0,0,0,0,No,2,4,1,6,13
6565,76,Elderly/Lansia (60+),Master,Married,76995.0,>70K,0,1,91,1012,80,498,0,16,176,1782,1,0,0,0,0,0,Yes,2,11,4,9,26
2278,40,Adult/Dewasa (29-44),Master,Single with Child,33812.0,<50K,1,0,86,4,17,19,30,24,39,133,0,0,0,0,0,0,No,2,2,1,3,8
9360,43,Adult/Dewasa (29-44),Bachelor/Diploma,Married,37040.0,<50K,0,0,41,86,2,73,69,38,48,316,0,0,0,0,0,0,No,1,4,2,5,12
5376,46,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,2447.0,<50K,1,0,42,1,1,1725,1,1,1,1730,0,0,0,0,0,0,No,15,0,28,0,43
1993,76,Elderly/Lansia (60+),PhD,Married,58607.0,50K-70K,0,1,63,867,0,86,0,0,19,972,0,0,0,1,0,0,Yes,3,2,3,9,17
4047,71,Elderly/Lansia (60+),PhD,Married,65324.0,50K-70K,0,1,0,384,0,102,21,32,5,544,0,0,0,0,0,0,No,3,6,2,9,20
1409,74,Elderly/Lansia (60+),Bachelor/Diploma,Together,40689.0,<50K,0,1,69,270,3,27,39,6,99,444,0,0,0,0,0,0,No,7,7,1,5,20
7892,56,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Single,18589.0,<50K,0,0,89,6,4,25,15,12,13,75,0,0,0,0,0,0,No,2,2,1,3,8
2404,49,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,53359.0,50K-70K,1,1,4,173,4,30,3,6,41,257,0,0,0,0,0,0,No,4,5,1,4,14
5255,39,Adult/Dewasa (29-44),Bachelor/Diploma,Single with Child,51983.0,50K-70K,1,0,19,5,1,3,3,263,362,637,0,0,0,0,0,0,No,0,27,0,0,27
9422,36,Adult/Dewasa (29-44),Bachelor/Diploma,Married,38360.0,<50K,1,0,26,36,2,42,20,21,10,131,0,0,0,0,0,0,No,2,2,1,4,9
